depression,vote18,female,age,educ,hispanic,black,income,married,attend,unemployed
2.4,1,0,22,5,0,0,9,0,4,0
2.2,0,1,61,4,0,0,5,0,1,0
2.65,0,1,22,2,0,0,4,0,1,0
2.55,1,1,24,2,0,1,2,0,2,0
1.05,1,1,31,6,0,0,12,0,1,0
2.45,0,0,31,5,1,0,7,0,1,0
2.55,1,0,37,5,0,0,11,1,5,0
1.1,1,0,48,6,0,0,11,1,3,0
3.1,0,1,18,4,0,1,6,0,3,0
1.6,1,1,55,6,0,1,9,1,4,0
1.35,1,1,55,3,0,0,10,1,4,0
2.6,1,1,40,6,0,0,8,1,3,0
1.6,0,1,25,2,0,1,1,0,2,1
1.35,1,0,40,6,0,0,12,1,1,0
1.1,1,1,61,6,0,0,12,1,2,0
1.35,1,0,64,6,0,0,11,1,5,0
2.2,0,0,22,2,1,0,11,0,1,0
1.25,1,0,55,5,0,0,10,1,3,0
1,1,1,60,3,0,0,4,0,4,0
2.15,1,0,21,7,0,1,3,1,2,0
1.5,1,0,43,7,1,0,5,0,3,1
1.4,1,0,76,5,0,1,12,0,1,0
1.4,0,1,44,4,0,0,7,1,2,0
1.5,1,1,51,3,0,0,3,1,1,1
1.65,0,1,38,4,0,0,9,1,3,0
3.2,0,1,38,5,0,0,8,1,1,0
2.8,0,1,48,5,0,0,10,0,5,0
1.15,1,1,62,4,0,0,5,1,2,0
3.45,0,0,19,2,0,0,11,0,1,0
2.55,0,0,30,7,0,0,11,1,3,0
2.2,0,1,57,3,1,0,2,0,1,0
1.8,1,1,76,6,1,0,3,0,2,0
1.9,1,1,24,3,0,1,3,0,1,0
1.2,1,1,67,5,1,0,11,1,4,0
3.8,0,0,62,6,0,0,8,1,4,0
2.95,0,1,36,3,0,0,1,0,2,1
1.15,0,1,39,5,1,0,12,1,2,0
2.3,1,1,73,4,0,1,4,0,2,0
1,1,0,45,5,1,0,13,1,1,0
1.5,1,0,30,5,0,0,4,1,4,0
