"","depress1","depress2","depress3","depress4","depress5","depress6","depress7","depress8","depress9","depress10","depress11","depress12","depress13","depress14","depress15","depress16","depress17","depress18","depress19","depress20","depression","vote18","female","age","educ","hispanic","black","income","married","attend","unemployed","polint","inteff1","inteff2","motivation"
"2","3.0","1.0","2.0","3.0","4.0","2.0","1.0","3.0","3.0","1.0","3.0","3.0","3.0","2.0","4.0","1.0","3.0","3.0","2.0","1.0","2.4","1.0","0.0","22.0","5.0","0.0","0.0","9.0","0.0","4.0","0.0","1.0","0.5","0.75","0.75"
"3","2.0","2.0","2.0","3.0","2.0","2.0","2.0","3.0","2.0","2.0","2.0","3.0","2.0","2.0","2.0","3.0","2.0","2.0","2.0","2.0","2.2","0.0","1.0","61.0","4.0","0.0","0.0","5.0","0.0","1.0","0.0","0.33333334","0.5","0.5","0.44444445"
"4","3.0","3.0","4.0","2.0","2.0","4.0","2.0","3.0","2.0","3.0","1.0","2.0","3.0","2.0","3.0","2.0","3.0","4.0","1.0","4.0","2.65","0.0","1.0","22.0","2.0","0.0","0.0","4.0","0.0","1.0","0.0","0.6666667","0.75","1.0","0.8055556"
"5","3.0","2.0","3.0","2.0","3.0","1.0","3.0","2.0","3.0","3.0","3.0","2.0","2.0","3.0","3.0","3.0","3.0","2.0","3.0","2.0","2.55","1.0","1.0","24.0","2.0","0.0","1.0","2.0","0.0","2.0","0.0","0.33333334","0.5","0.5","0.44444445"
"6","1.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.05","1.0","1.0","31.0","6.0","0.0","0.0","12.0","0.0","1.0","0.0","0.33333334","0.0","0.0","0.11111111"
"7","2.0","2.0","3.0","1.0","2.0","3.0","2.0","3.0","3.0","3.0","2.0","2.0","2.0","3.0","3.0","3.0","1.0","3.0","3.0","3.0","2.45","0.0","0.0","31.0","5.0","1.0","0.0","7.0","0.0","1.0","0.0","1.0","0.25","0.25","0.5"
"8","2.0","2.0","2.0","3.0","3.0","2.0","3.0","3.0","2.0","3.0","3.0","3.0","2.0","3.0","3.0","2.0","2.0","3.0","3.0","2.0","2.55","1.0","0.0","37.0","5.0","0.0","0.0","11.0","1.0","5.0","0.0","1.0","0.25","0.25","0.5"
"9","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.1","1.0","0.0","48.0","6.0","0.0","0.0","11.0","1.0","3.0","0.0","0.6666667","0.0","0.25","0.30555555"
"10","4.0","3.0","2.0","2.0","4.0","4.0","3.0","1.0","4.0","3.0","3.0","2.0","4.0","4.0","3.0","1.0","4.0","4.0","4.0","3.0","3.1","0.0","1.0","18.0","4.0","0.0","1.0","6.0","0.0","3.0","0.0","1.0","0.25","1.0","0.75"
"11","1.0","1.0","1.0","4.0","1.0","1.0","1.0","4.0","1.0","1.0","1.0","4.0","1.0","1.0","1.0","4.0","1.0","1.0","1.0","1.0","1.6","1.0","1.0","55.0","6.0","0.0","1.0","9.0","1.0","4.0","0.0","0.33333334","0.5","0.5","0.44444445"
"12","1.0","1.0","1.0","4.0","1.0","1.0","2.0","4.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.35","1.0","1.0","55.0","3.0","0.0","0.0","10.0","1.0","4.0","0.0","0.0","0.25","0.25","0.16666667"
"13","3.0","3.0","2.0","2.0","2.0","3.0","4.0","2.0","3.0","3.0","1.0","4.0","3.0","2.0","4.0","2.0","2.0","2.0","2.0","3.0","2.6","1.0","1.0","40.0","6.0","0.0","0.0","8.0","1.0","3.0","0.0","1.0","0.5","0.25","0.5833333"
"14","1.0","1.0","1.0","4.0","1.0","1.0","1.0","4.0","1.0","1.0","1.0","4.0","1.0","1.0","1.0","4.0","1.0","1.0","1.0","1.0","1.6","0.0","1.0","25.0","2.0","0.0","1.0","1.0","0.0","2.0","1.0","0.0","1.0","1.0","0.6666667"
"15","1.0","1.0","1.0","1.0","1.0","1.0","1.0","3.0","1.0","1.0","1.0","2.0","1.0","1.0","3.0","2.0","1.0","1.0","1.0","2.0","1.35","1.0","0.0","40.0","6.0","0.0","0.0","12.0","1.0","1.0","0.0","1.0","0.75","1.0","0.9166667"
"16","1.0","1.0","1.0","2.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.1","1.0","1.0","61.0","6.0","0.0","0.0","12.0","1.0","2.0","0.0","0.6666667","0.0","0.0","0.22222222"
"17","1.0","1.0","1.0","4.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","4.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.35","1.0","0.0","64.0","6.0","0.0","0.0","11.0","1.0","5.0","0.0","1.0","0.25","0.25","0.5"
"18","2.0","2.0","2.0","3.0","2.0","2.0","2.0","3.0","2.0","2.0","2.0","3.0","2.0","2.0","2.0","3.0","2.0","2.0","2.0","2.0","2.2","0.0","0.0","22.0","2.0","1.0","0.0","11.0","0.0","1.0","0.0","1.0","0.0","0.0","0.33333334"
"19","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","2.0","2.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","2.0","1.25","1.0","0.0","55.0","5.0","0.0","0.0","10.0","1.0","3.0","0.0","0.6666667","0.75","1.0","0.8055556"
"20","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","60.0","3.0","0.0","0.0","4.0","0.0","4.0","0.0","0.0","0.25","0.75","0.33333334"
"21","2.0","2.0","2.0","3.0","2.0","2.0","1.0","2.0","3.0","1.0","3.0","4.0","1.0","4.0","4.0","1.0","1.0","3.0","1.0","1.0","2.15","1.0","0.0","21.0","7.0","0.0","1.0","3.0","1.0","2.0","0.0","0.33333334","0.75","1.0","0.6944444"
"22","1.0","1.0","1.0","4.0","1.0","1.0","2.0","4.0","1.0","1.0","1.0","2.0","2.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.5","1.0","0.0","43.0","7.0","1.0","0.0","5.0","0.0","3.0","1.0","0.6666667","0.25","0.0","0.30555555"
"23","1.0","1.0","1.0","1.0","1.0","2.0","2.0","2.0","1.0","1.0","2.0","1.0","1.0","2.0","1.0","2.0","1.0","2.0","1.0","2.0","1.4","1.0","0.0","76.0","5.0","0.0","1.0","12.0","0.0","1.0","0.0","1.0","0.25","0.25","0.5"
"24","2.0","1.0","1.0","1.0","1.0","1.0","2.0","2.0","1.0","2.0","3.0","2.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.4","0.0","1.0","44.0","4.0","0.0","0.0","7.0","1.0","2.0","0.0","0.33333334","0.0","0.75","0.3611111"
"25","2.0","1.0","1.0","2.0","1.0","1.0","2.0","2.0","1.0","1.0","2.0","2.0","2.0","2.0","1.0","2.0","1.0","1.0","1.0","2.0","1.5","1.0","1.0","51.0","3.0","0.0","0.0","3.0","1.0","1.0","1.0","0.6666667","0.25","0.75","0.5555556"
"26","2.0","1.0","1.0","3.0","2.0","1.0","2.0","2.0","1.0","2.0","1.0","1.0","1.0","2.0","1.0","2.0","2.0","1.0","2.0","3.0","1.65","0.0","1.0","38.0","4.0","0.0","0.0","9.0","1.0","3.0","0.0","0.0","0.25","0.25","0.16666667"
"27","2.0","1.0","4.0","4.0","2.0","4.0","4.0","4.0","4.0","4.0","4.0","2.0","1.0","3.0","4.0","2.0","4.0","4.0","3.0","4.0","3.2","0.0","1.0","38.0","5.0","0.0","0.0","8.0","1.0","1.0","0.0","0.33333334","1.0","1.0","0.7777778"
